employee_id,hire_date,salary,days_worked,work_email,dept_id,performance_score
STF-198417,2023-06-14,53384.42,83,kmgj@outlook.com,DEPT01,1.22
STF-581609,2023-07-04,85296.67,49,ewxm@yahoo.com,DEPT03,3.44
STF-814804,2022-06-01,42693.43,217,zpugwem@yahoo.com,DEPT02,2.35
STF-434013,2024-07-27,85216.48,232,lkkvdcu@outlook.com,DEPT06,2.07
STF-986702,2021-02-16,41661.75,133,zskpboaw@outlook.com,DEPT01,1.96
STF-798238,2020-06-18,92551.33,57,ipdjjdr@outlook.com,DEPT06,2.47
STF-315449,2016-06-23,54587.77,200,efdrdm@gmail.com,DEPT05,4.01
STF-846074,2022-04-10,40793.19,120,siia@corp.io,DEPT05,4.63
STF-160535,2016-07-21,81598.86,112,gnahcu@outlook.com,DEPT06,1.82
STF-490638,2024-05-20,101053.74,100,xibipjp@outlook.com,DEPT04,2.88
STF-790614,2021-09-18,32239.99,155,rowbjms@outlook.com,DEPT04,4.02
STF-583426,2015-02-09,112087.75,171,heozuv@corp.io,DEPT02,4.27
STF-839026,2020-08-03,90949.36,11,hljawmc@yahoo.com,DEPT04,2.29
STF-043063,2016-10-16,123960.33,108,jgkdjx@gmail.com,DEPT02,3.35
STF-197993,2020-03-25,91087.36,87,rsmdnr@corp.io,DEPT04,3.3
EMP-000166,2017-05-18,57077.3,252,,DEPT01,1.11
EMP-000167,2019-03-26,112708.29,168,,DEPT05,4.64
EMP-000168,2021-04-17,51211.09,50,,DEPT02,4.01
EMP-000169,2020-12-07,52614.55,134,,DEPT06,4.35
EMP-000170,2017-08-28,49759.2,40,,DEPT05,1.9
EMP-000171,2021-08-17,63762.47,96,,DEPT05,2.59
EMP-000172,2018-06-21,97613.07,111,,DEPT05,1.18
EMP-000173,2021-02-02,33441.63,163,,DEPT01,4.57
EMP-000174,2022-11-17,40094.35,117,,DEPT02,2.44
EMP-000175,2024-11-06,136983.12,243,,DEPT03,3.0
EMP-000176,2018-01-28,119538.42,14,,DEPT05,2.48
